Data;Loja;Faturamento;Pedidos;Ticket Médio
01/05/2022;Gravataí (Vinicius);R$ 27.093,40;677;R$ 40,02
01/06/2022;Caxias do Sul;R$ 130.231,57;2326;R$ 56,00
01/06/2022;Novo Hamburgo;R$ 106.592,51;1807;R$ 59,00
01/06/2022;São Leopoldo;R$ 89.730,24;2087;R$ 43,00
01/06/2022;Barra Shopping;R$ 84.036,62;2101;R$ 40,00
01/06/2022;Sapucaia do Sul (Vinicius);R$ 66.492,38;1662;R$ 40,01
01/06/2022;Montenegro;R$ 66.385,92;1660;R$ 39,99
01/06/2022;Campo Bom;R$ 63.918,09;926;R$ 69,00
01/06/2022;Sapiranga;R$ 60.678,24;1028;R$ 59,00
01/06/2022;Parobé;R$ 48.445,97;969;R$ 50,00
01/06/2022;Estância Velha;R$ 46.494,03;1162;R$ 40,01
01/06/2022;Bento Gonçalves;R$ 45.032,19;1126;R$ 39,99
01/06/2022;Passo d' Areia;R$ 42.644,73;735;R$ 58,00
01/06/2022;Gravataí (Vinicius);R$ 41.151,55;1029;R$ 39,99
01/07/2022;Caxias do Sul;R$ 126.122,31;2933;R$ 43,00
01/07/2022;Barra Shopping;R$ 94.378,55;2359;R$ 40,01
01/07/2022;Novo Hamburgo;R$ 93.868,42;1360;R$ 69,00
01/07/2022;São Leopoldo;R$ 93.484,16;1246;R$ 75,00
01/07/2022;Montenegro;R$ 62.273,25;1297;R$ 48,00
01/07/2022;Campo Bom;R$ 60.282,49;1230;R$ 49,00
01/07/2022;Sapiranga;R$ 59.075,81;1036;R$ 57,00
01/07/2022;Bento Gonçalves;R$ 55.899,24;1397;R$ 40,01
01/07/2022;Sapucaia do Sul (Vinicius);R$ 50.160,99;678;R$ 74,00
01/07/2022;Parobé;R$ 48.783,03;1220;R$ 39,99
01/07/2022;Passo d' Areia;R$ 46.669,99;1167;R$ 39,99
01/07/2022;Estância Velha;R$ 46.650,15;1166;R$ 40,01
01/07/2022;Gravataí (Vinicius);R$ 30.008,27;750;R$ 40,01
01/08/2022;Caxias do Sul;R$ 116.023,31;2901;R$ 39,99
01/08/2022;Montenegro;R$ 94.135,13;2353;R$ 40,01
01/08/2022;Novo Hamburgo;R$ 94.135,13;2353;R$ 40,01
01/08/2022;São Leopoldo;R$ 86.221,90;2156;R$ 39,99
01/08/2022;Barra Shopping;R$ 83.047,57;1298;R$ 64,00
01/08/2022;Sapiranga;R$ 52.366,66;1309;R$ 40,01
01/08/2022;Campo Bom;R$ 52.123,38;841;R$ 62,00
01/08/2022;Sapucaia do Sul (Vinicius);R$ 41.486,34;1037;R$ 40,01
01/08/2022;Parobé;R$ 41.095,43;1027;R$ 40,02
01/08/2022;Bento Gonçalves;R$ 40.071,78;1002;R$ 39,99
01/08/2022;Estância Velha;R$ 38.714,55;968;R$ 39,99
01/08/2022;Passo d' Areia;R$ 37.741,12;944;R$ 39,98
01/08/2022;Gravataí (Vinicius);R$ 28.416,10;710;R$ 40,02
01/09/2022;Caxias do Sul;R$ 123.235,02;1736;R$ 71,00
01/09/2022;Novo Hamburgo;R$ 92.538,74;2313;R$ 40,01
01/09/2022;São Leopoldo;R$ 85.438,97;1424;R$ 60,00
01/09/2022;Barra Shopping;R$ 83.890,10;2151;R$ 39,00
01/09/2022;Montenegro;R$ 64.800,87;1157;R$ 56,00
01/09/2022;Shopping Total;R$ 58.868,46;1472;R$ 39,99
01/09/2022;Sapiranga;R$ 54.144,32;1354;R$ 39,99
01/09/2022;Estância Velha;R$ 46.719,89;1112;R$ 42,00
01/09/2022;Sapucaia do Sul (Vinicius);R$ 46.310,48;1158;R$ 39,99
01/09/2022;Campo Bom;R$ 45.891,05;1147;R$ 40,01
01/09/2022;Gravataí (Vinicius);R$ 32.847,16;821;R$ 40,01
01/09/2022;Bento Gonçalves;R$ 31.500,99;788;R$ 39,98
01/09/2022;Parobé;R$ 11.096,31;277;R$ 40,06
01/10/2022;Caxias do Sul;R$ 129.679,96;1826;R$ 71,00
01/10/2022;Novo Hamburgo;R$ 102.027,07;2551;R$ 39,99
01/10/2022;São Leopoldo;R$ 82.395,81;1498;R$ 55,00
01/10/2022;Barra Shopping;R$ 78.738,54;1968;R$ 40,01
01/10/2022;Shopping Total;R$ 65.063,39;1627;R$ 39,99
01/10/2022;Montenegro;R$ 64.401,12;947;R$ 68,00
01/10/2022;Sapiranga;R$ 60.550,62;1514;R$ 39,99
01/10/2022;Campo Bom;R$ 52.520,45;1142;R$ 46,00
01/10/2022;Sapucaia do Sul (Vinicius);R$ 47.915,71;871;R$ 55,00
01/10/2022;Estância Velha;R$ 47.000,79;771;R$ 61,00
01/10/2022;Bento Gonçalves;R$ 45.406,58;1135;R$ 40,01
01/10/2022;Gravataí (Vinicius);R$ 35.190,00;880;R$ 39,99
01/11/2022;Caxias do Sul;R$ 133.514,87;3514;R$ 38,00
01/11/2022;Novo Hamburgo;R$ 104.316,03;1739;R$ 60,00
01/11/2022;Barra Shopping;R$ 84.529,68;1409;R$ 60,00
01/11/2022;São Leopoldo;R$ 80.987,86;2025;R$ 39,99
01/11/2022;Shopping Total;R$ 67.357,39;1643;R$ 41,00
01/11/2022;Sapiranga;R$ 62.609,36;1565;R$ 40,01
01/11/2022;Montenegro;R$ 56.334,00;1408;R$ 40,01
01/11/2022;Bento Gonçalves;R$ 50.879,49;1018;R$ 50,00
01/11/2022;Campo Bom;R$ 47.723,57;1290;R$ 37,00
01/11/2022;Sapucaia do Sul (Vinicius);R$ 47.287,04;1182;R$ 40,01
01/11/2022;Estância Velha;R$ 42.640,67;969;R$ 44,00
01/11/2022;Gravataí (Vinicius);R$ 36.978,01;924;R$ 40,02
01/12/2022;Caxias do Sul;R$ 145.346,63;2464;R$ 59,00
01/12/2022;Barra Shopping;R$ 114.359,18;2287;R$ 50,00
01/12/2022;Novo Hamburgo;R$ 113.302,42;2833;R$ 39,99
01/12/2022;São Leopoldo;R$ 83.431,88;1438;R$ 58,00
01/12/2022;Sapiranga;R$ 68.956,81;1095;R$ 63,00
01/12/2022;Bento Gonçalves;R$ 68.852,98;1721;R$ 40,01
01/12/2022;Shopping Total;R$ 68.654,19;1716;R$ 40,01
01/12/2022;Montenegro;R$ 66.423,65;1661;R$ 39,99
01/12/2022;Campo Bom;R$ 60.028,88;1501;R$ 39,99
01/12/2022;Estância Velha;R$ 47.261,17;1182;R$ 39,98
01/12/2022;Sapucaia do Sul (Vinicius);R$ 23.224,55;581;R$ 39,97
01/12/2022;Gravataí (Vinicius);R$ 19.684,10;492;R$ 40,01
01/01/2023;Caxias do Sul;R$ 121.801,28;2064;R$ 59,00
01/01/2023;Barra Shopping;R$ 90.203,42;2374;R$ 38,00
01/01/2023;Novo Hamburgo;R$ 88.157,53;1259;R$ 70,00
01/01/2023;São Leopoldo;R$ 69.874,45;1059;R$ 66,00
01/01/2023;Sapiranga;R$ 65.163,84;973;R$ 67,00
01/01/2023;Bento Gonçalves;R$ 61.906,28;1548;R$ 39,99
01/01/2023;Montenegro;R$ 55.479,93;867;R$ 64,00
01/01/2023;Campo Bom;R$ 52.482,61;820;R$ 64,00
01/01/2023;Shopping Total;R$ 52.314,19;817;R$ 64,00
01/01/2023;Estância Velha;R$ 46.351,82;1159;R$ 39,99
01/02/2023;Caxias do Sul;R$ 115.396,20;1892;R$ 61,00
01/02/2023;Novo Hamburgo;R$ 83.940,51;2099;R$ 39,99
01/02/2023;Barra Shopping;R$ 79.548,77;1989;R$ 39,99
01/02/2023;São Leopoldo;R$ 73.886,59;2052;R$ 36,00
01/02/2023;Bento Gonçalves;R$ 62.326,83;1640;R$ 38,00
01/02/2023;Sapiranga;R$ 57.426,75;1436;R$ 39,99
